Berlin;52.5166667;13.3999996
Hamburg;53.5500000;10.0000000
Muenchen;48.1376831;11.5743542
Koeln;50.9333333;6.9499998
Frankfurt am Main;50.1166667;8.6833334
Essen;51.4500000;7.0166669
Stuttgart;48.7823243;9.1770172
Dortmund;51.5166667;7.4499998
Dusseldorf;51.2217226;6.7761612
Bremen;53.0751557;8.8077736
Hannover;52.3705163;9.7332211
Leipzig;51.3396200;12.3712921
Duisburg;51.4333333;6.7500000
Nuernberg;49.4477778;11.0683336
Dresden;51.0508911;13.7383175
Bochum;51.4833333;7.2166667
Wuppertal;51.2666667;7.1833334
Bielefeld;52.0333333;8.5333328
Bonn;50.7333333;7.0999999
Mannheim;49.4883333;8.4647226
Karlsruhe;49.0047222;8.3858337
Wiesbaden;50.0833333;8.2500000
Munster;51.9623559;7.6257133
Gelsenkirchen-Alt;51.5166667;7.1166668
Aachen;50.7766356;6.0834217
Monchengladbach;51.2000000;6.4333334
Augsburg;48.3666667;10.8833332
Chemnitz;50.8333333;12.9166670
Braunschweig;52.2666667;10.5333328
Halle-Neustadt;51.4833333;11.9333334
Krefeld;51.3333333;6.5666666
Halle;51.5000000;12.0000000
Kiel;54.3213293;10.1348877;-9
Magdeburg;52.1666667;11.6666670
Neustadt;52.1500000;11.6333332
Oberhausen;51.4666667;6.8499999
Freiburg;47.9958954;7.8522205
Lubeck;53.8689270;10.6872940
Erfurt;50.9833333;11.0333328
Hagen;51.3500000;7.4666667
Rostock;54.0886975;12.1404934
Kassel;51.3166667;9.5000000
Hamm;51.6803258;7.8208923
Mainz;50.0000000;8.2711115
Saarbrucken;49.2333333;7.0000000
Herne;51.5500000;7.2166667
Mulheim an der Ruhr;51.4333333;6.8833332
Osnabruck;52.2666667;8.0500002
Solingen;51.1833333;7.0833335
Ludwigshafen am Rhein;49.4811111;8.4352779
Leverkusen;51.0333333;7.0000000
Oldenburg;53.1666667;8.1999998
Neuss;51.2000000;6.6833334
Potsdam;52.3988578;13.0656624
Heidelberg;49.4076783;8.6907864
Paderborn;51.7190528;8.7543869
Darmstadt;49.8705556;8.6494446
Wurzburg;49.7877778;9.9361115
Regensburg;49.0150000;12.0955553
Wolfsburg;52.4333333;10.8000002
Recklinghausen;51.6166667;7.1999998
Gottingen;51.5333333;9.9333334
Heilbronn;49.1402778;9.2200003
Ingolstadt;48.7666667;11.4333334
Ulm;48.3984084;9.9915504
Bottrop;51.5166667;6.9166665
Pforzheim;48.8833333;8.6999998
Offenbach;50.1000000;8.7666664
Bremerhaven;53.5500000;8.5833330
Remscheid;51.1833333;7.1999998
Reutlingen;48.4914400;9.2042685
Furth;49.4759325;10.9885597
Moers;51.4500000;6.6500001
Koblenz;50.3500000;7.5999999
Siegen;50.8666667;8.0333328
Bergisch Gladbach;50.9833333;7.1333332
Jena;50.9333333;11.5833330
Gera;50.8666667;12.0833330
Hildesheim;52.1500000;9.9666672
Erlangen;49.5897222;11.0038891
Witten;51.4333333;7.3333335
Trier;49.7556526;6.6393471
Zwickau;50.7333333;12.5000000
Kaiserslautern;49.4500000;7.7500000
Iserlohn;51.3666667;7.6999998
Schwerin;53.6333333;11.3833332
Gutersloh;51.9000000;8.3833332
Duren;50.8000000;6.4833331
Esslingen;48.7396066;9.3047333
Ratingen;51.2972421;6.8492889
Marl;51.6500000;7.0833335
Lunen;51.6166667;7.5166669
Hanau am Main;50.1333333;8.9166670
Velbert;51.3333333;7.0500002
Ludwigsburg;48.8973114;9.1916084
Flensburg;54.7833333;9.4333334
Cottbus;51.7666667;14.3333330
Wilhelmshaven;53.5166667;8.1333332;-9
Tubingen;48.5226590;9.0522194
Minden;52.2833333;8.9166670
